Price,Area,Location,No. of Bedrooms,Resale,MaintenanceStaff,Gymnasium,24X7Security,PowerBackup,CarParking,StaffQuarter,AC,Wifi,Children'splayarea,LiftAvailable,BED
10500000,1200,"Sector 10 Dwarka, Delhi",2,1,0,1,1,1,1,0,0,0,1,1,0
6000000,1000,"Uttam Nagar, Delhi",3,0,0,0,0,1,1,0,0,0,0,0,0
15000000,1350,"Sarita Vihar, Delhi",2,1,0,0,0,0,0,0,0,0,0,0,0
2500000,435,"Uttam Nagar, Delhi",2,0,0,0,0,0,1,0,0,0,0,0,0
5800000,900,"Dwarka Mor, Delhi",3,0,0,0,0,0,1,0,0,0,0,1,0
15800000,1800,"Sector 7 Dwarka, Delhi",4,1,0,1,1,1,1,1,0,0,1,1,0
15400000,1500,"Sector 6 Dwarka, Delhi",3,1,0,0,0,0,0,0,0,0,0,0,0
13500000,1800,"Sector 5 Dwarka, Delhi",3,1,0,1,0,1,0,0,0,0,1,0,0
6500000,1000,"Sector 23 Rohini, Delhi",3,0,0,0,0,0,1,0,0,0,0,1,0
12500000,1300,"Mayur Vihar II, Delhi",2,1,0,0,0,0,0,0,0,0,0,0,0
11000000,1000,"Sector 24 Rohini, Delhi",3,0,0,0,0,0,1,0,0,0,0,1,0
12500000,1550,"Sector 11 Dwarka, Delhi",3,1,0,0,0,1,0,0,0,0,1,1,0
14800000,1800,"Sector 23 Dwarka, Delhi",3,1,0,0,0,0,0,0,0,0,0,0,0
12500000,600,"Sector 12 Dwarka, Delhi",3,1,0,0,0,0,0,0,0,0,0,0,0
3300000,385,"Sector 23 Dwarka, Delhi",1,1,0,0,0,0,0,0,0,0,0,0,0
110000000,2500,"West End, Delhi",4,1,0,0,0,1,0,0,1,0,0,1,0
5000000,1000,"Dwarka Mor, Delhi",3,0,0,0,0,0,0,0,0,0,0,1,0
17500000,1300,"Sector 9 Rohini, Delhi",3,0,0,0,0,0,0,0,0,0,1,0,0
3600000,1050,"Mundka, Delhi",3,1,0,0,0,0,0,0,0,0,0,1,0
16500000,1600,"Sector 6 Dwarka, Delhi",3,1,0,0,0,0,0,0,0,0,0,0,0
10500000,1200,"Sector 10 Dwarka, Delhi",2,1,0,1,1,1,1,0,0,0,1,1,0
6000000,1000,"Uttam Nagar, Delhi",3,0,0,0,0,1,1,0,0,0,0,0,0
15000000,1350,"Sarita Vihar, Delhi",2,1,0,0,0,0,0,0,0,0,0,0,0
2500000,435,"Uttam Nagar, Delhi",2,0,0,0,0,0,1,0,0,0,0,0,0
5800000,900,"Dwarka Mor, Delhi",3,0,0,0,0,0,1,0,0,0,0,1,0
15800000,1800,"Sector 7 Dwarka, Delhi",4,1,0,1,1,1,1,1,0,0,1,1,0
15400000,1500,"Sector 6 Dwarka, Delhi",3,1,0,0,0,0,0,0,0,0,0,0,0
13500000,1800,"Sector 5 Dwarka, Delhi",3,1,0,1,0,1,0,0,0,0,1,0,0
6500000,1000,"Sector 23 Rohini, Delhi",3,0,0,0,0,0,1,0,0,0,0,1,0
12500000,1300,"Mayur Vihar II, Delhi",2,1,0,0,0,0,0,0,0,0,0,0,0
11000000,1000,"Sector 24 Rohini, Delhi",3,0,0,0,0,0,1,0,0,0,0,1,0
12500000,1550,"Sector 11 Dwarka, Delhi",3,1,0,0,0,1,0,0,0,0,1,1,0
14800000,1800,"Sector 23 Dwarka, Delhi",3,1,0,0,0,0,0,0,0,0,0,0,0
12500000,600,"Sector 12 Dwarka, Delhi",3,1,0,0,0,0,0,0,0,0,0,0,0
3300000,385,"Sector 23 Dwarka, Delhi",1,1,0,0,0,0,0,0,0,0,0,0,0
110000000,2500,"West End, Delhi",4,1,0,0,0,1,0,0,1,0,0,1,0
5000000,1000,"Dwarka Mor, Delhi",3,0,0,0,0,0,0,0,0,0,0,1,0
17500000,1300,"Sector 9 Rohini, Delhi",3,0,0,0,0,0,0,0,0,0,1,0,0
3600000,1050,"Mundka, Delhi",3,1,0,0,0,0,0,0,0,0,0,1,0
16500000,1600,"Sector 6 Dwarka, Delhi",3,1,0,0,0,0,0,0,0,0,0,0,0
12500000,1000,"Sector 13 Rohini, Delhi",2,1,0,0,0,0,0,0,0,0,0,0,0
2750000,630,"Jamia Nagar, Delhi",2,1,0,0,0,0,0,0,0,0,0,1,0
23500000,2000,"Sector 19 Dwarka, Delhi",4,1,0,0,0,1,1,0,0,0,1,1,0
16200000,1600,"Sector 10 Dwarka, Delhi",3,1,0,0,0,0,0,0,0,0,0,0,0
13500000,1350,"Sector 24 Rohini, Delhi",4,0,0,0,0,0,1,0,0,0,0,1,0
5500000,1000,"Uttam Nagar, Delhi",3,0,1,0,0,0,0,0,0,0,0,1,0
5500000,1000,"Dwarka Mor, Delhi",3,0,1,0,0,0,0,0,0,0,0,1,0
3621000,900,"Uttam Nagar, Delhi",3,0,0,0,0,0,0,0,0,0,0,0,0
9200000,1200,"Sector 17 Dwarka, Delhi",2,1,0,0,0,0,0,0,0,0,1,0,0
10400000,1125,"Sector 23 Rohini, Delhi",3,1,0,0,0,0,1,0,0,0,0,1,0
2350000,415,"Sector 23 Dwarka, Delhi",1,1,0,1,0,0,0,0,0,0,1,0,0
8000000,1500,"Dwarka Mor, Delhi",4,0,0,0,0,0,0,0,0,0,0,0,0
3500000,675,"Bindapur, Delhi",3,1,0,0,0,0,0,0,0,0,0,1,0
14800000,1750,"Sector-18 Dwarka, Delhi",3,1,0,0,0,1,0,0,0,0,1,1,0
8500000,1200,"Dwarka Mor, Delhi",4,0,0,0,0,1,1,0,0,0,0,1,0
45000000,4600,"Sector-18 Dwarka, Delhi",4,1,0,0,0,0,0,0,0,0,0,0,0
17500000,1650,"Vasant Kunj, Delhi",3,1,0,0,0,0,1,0,0,0,0,1,0
2700000,540,"Dwarka Mor, Delhi",2,0,0,0,0,0,1,0,0,0,0,1,0
4999000,950,"Dwarka Mor, Delhi",3,0,0,0,0,0,0,0,0,0,0,0,0
4699000,850,"Dwarka Mor, Delhi",3,1,0,0,0,0,0,0,0,0,0,1,0
3800000,450,"Shastri Nagar, Delhi",2,1,0,0,0,0,0,0,0,0,0,1,0
15000000,1551,"Sector-8 Rohini, Delhi",2,1,0,0,0,1,1,0,1,0,1,0,0
3000000,650,"Jamia Nagar, Delhi",2,0,0,0,0,0,0,0,0,0,0,0,0
5100000,900,"Sector 9 Dwarka, Delhi",3,0,0,0,0,0,1,0,0,0,0,0,0
2350000,550,"Uttam Nagar, Delhi",2,0,0,0,0,0,0,0,0,0,0,0,0
5499000,900,"Dwarka Mor, Delhi",3,0,0,0,0,0,1,0,0,0,0,0,0
12800000,1843,"Shanti Park Dwarka, Delhi",3,0,0,1,1,1,1,1,0,0,1,1,0
2500000,630,"Govindpuri, Delhi",2,1,0,0,0,0,0,0,0,0,0,0,0
27500000,3000,"Sector 22 Dwarka, Delhi",4,1,0,1,0,0,0,0,0,0,1,1,0
3600000,675,"Matiala, Delhi",2,1,0,0,0,0,0,0,0,0,0,1,0
45000000,1300,"Saket, Delhi",3,1,0,0,0,1,0,0,1,0,1,0,1
5500000,1000,"Uttam Nagar, Delhi",3,0,0,0,0,0,1,0,0,0,0,1,0
5500000,900,"Mahavir Enclave, Delhi",3,1,0,0,0,0,0,0,0,0,0,1,0
16800000,1700,"Sector 6 Dwarka, Delhi",3,1,0,1,0,0,0,0,0,0,1,1,0
3900000,900,"Dwarka Mor, Delhi",3,0,0,0,0,0,0,0,0,0,0,1,0
4400000,1000,"Dwarka Mor, Delhi",3,0,0,0,0,0,0,0,0,0,0,1,0
15000000,1200,"Sector 23 Dwarka, Delhi",2,1,0,0,0,1,0,0,1,0,1,1,1
6500000,700,"Shastri Nagar, Delhi",3,1,0,0,0,0,0,0,0,0,0,1,0
2900000,630,"Burari, Delhi",2,1,0,0,0,0,0,0,0,0,0,1,0
2100000,540,"Burari, Delhi",2,0,0,0,0,0,0,0,0,0,0,0,0
6200000,1200,"Shahdara, Delhi",3,1,0,0,0,0,0,0,0,0,0,1,0
4011000,1000,"Uttam Nagar, Delhi",3,0,0,0,0,0,0,0,0,0,0,0,0
5300000,850,"Babarpur, Delhi",3,1,0,0,0,0,0,0,0,0,0,1,0
13500000,1500,"Sector 19 Dwarka, Delhi",3,1,0,0,0,0,1,0,0,0,1,1,0
2400000,750,"Khanpur, Delhi",2,0,0,0,0,0,0,0,0,0,0,0,0
14500000,1650,"Sector 13 Dwarka, Delhi",3,1,0,1,0,1,1,0,0,0,1,1,0
4500000,810,"Mansa Ram Park, Delhi",3,1,0,0,0,0,0,0,0,0,0,1,0
16000000,1250,"Sector 13 Rohini, Delhi",3,1,0,0,0,0,0,0,0,0,0,0,0
6400000,600,"Sector-18 Dwarka, Delhi",1,1,0,0,0,0,0,0,0,0,0,0,0
35000000,3800,"Sector 12 Dwarka, Delhi",5,1,1,0,1,1,1,0,0,0,1,1,0
10000000,1000,"Sector 24 Rohini, Delhi",3,0,0,0,0,0,1,0,0,0,0,1,0
2300000,380,"Sector 23 Dwarka, Delhi",1,1,0,0,0,0,0,0,0,0,0,0,0
6900000,600,"Vasant Kunj, Delhi",1,1,0,0,0,0,0,0,0,0,1,1,0
17500000,2250,"Green Park, Delhi",2,1,0,0,0,0,0,0,0,0,0,0,0
16500000,1200,"Kalkaji, Delhi",3,1,0,1,1,1,1,1,0,0,0,1,0
3000000,645,"Jamia Nagar, Delhi",3,1,0,0,0,0,0,0,0,0,0,0,0
13500000,1600,"Sector 4 Dwarka, Delhi",3,1,0,0,0,1,0,0,0,0,1,1,0
3800000,1000,"Uttam Nagar, Delhi",3,0,0,0,0,0,0,0,0,0,0,0,0
5000000,920,"Uttam Nagar, Delhi",3,0,0,0,0,1,0,0,0,0,0,1,0
2800000,570,"Dwarka Mor, Delhi",2,0,0,0,0,1,0,0,0,0,0,1,0
